content,score,sentimen
Katanya bebaa Ongkir . Cuman Tipu ajah . Ngak ada yg namanya bebas ongkir . Booong,1,0
Gw pen download lagu yg muncul malah Tokopedia-_-,1,0
"Saya kasi bintang tiga karena, invoice atau struk pembelian paket data atau pembayaran kartu kredit tidak dpt dicetak langsung atau didownload dlm bentuk pdf, sy sudah berapa kali membayar tagihan kartu kredit kantor dan paket data tp struknya tidak bisa berfungsi tombol cetaknya alhasil discreenshoot dan dilampirkan surat pernyataan, mgkn ini terlihat sepele tp mohon utk webstore sekaliber TokPed utk memperhatikan detail kenyaman konsumen.. 🙏🙏",3,0
Kudownload karena tahu bula nyoi.,1,0
puas,3,0
Ijek arep njajal,2,0
Bagus,1,0
1ecoo,2,0
"Fitur filter pada kategory sebelum update ada sekarang malah di hilangkan, jadi susah cari produk terbaru dan filter barang",2,0
Tidak bisa kasih ulasan kartu prakerja..udah bolak balik tetap tidak bisa..gimana ya solusinya,3,0
"Kenapa setelah update malah ga enak aplikasi nya min,, tulisan jadi pada ilang trus sering lemot saat mau ngecek paket",1,0
Opsi gratis ongkir direview lagi dah. gila sj gratis ongkir pake anter aja kirim dari jogja ke magelang 9 hari belum sampe. Kasian penjual kl begini,2,0
"Min , Knapa sertifikat prakerja saya blom dikirim ke prakerja nya, nanti tak kasih bintang 5 kalo sertifikat dah muncul",3,0
"Tolong untuk partner kurir anteraja itu diberi arahan atau diputus saja, barang saya sudah 5 hari tidak sampai-sampai.",1,0
Thank you,3,0
"Prakerja Gelombang 4 syarat sudah memenuhi semua, sertifikat sudah ada 2, selesai semua materi 29 Agustus 2020, gelombang 5.6 malah sudah ada yang cair. Kenapa belum ada di dasbor,",3,0
Pembelian mobil mainan remot berjalan lancar,3,0
Tolol,1,0
Lambat masuk ke aplikasinya 30 menit baru terbuka,2,0
"Prakerja saya knp tidak muncul di dashboard dari tanggal 26 agustus. Hubungi tokopedia care ,kok robot yg balas. Parahh..",1,0
"Sangat lambat dalam kinerja tokopedia ,saya pelatihan di skill academy sudah dari tanggal 28 agustus sudah selesai pelatihan nya ,dan sampe saat ini belum muncul di sertifikat di dashboar prakerja nya dan akhir nya jadi terkendala untuk insentif prakerja nya. Di platform sebelah malah lebih cepet muncul sertifikat di dashboard prakerja nya. Jika nanti sudah muncul di dashboard prakerja sertifikat nya ,saya akan rubah lagi rating nya. Terima kasih",1,0
Aplikasi setan iklan muncul terus babi,1,0
tai lah .. gara2 lupa ngasih ulasan jadi lama cairnya,1,0
"Pembayaran syaa di batalkan padahal GK ada tuh masalah""... waktu nya juga GK terlambat waktu untuk membayar ny",1,0
"Apaan ini, beberapa kali saya transaksi tapi pesenan saya batal terus...",1,0
Tolong dong sertifikat prakerja cepat di proses agar muncul di dashboard lama banget saya sudah menunggu sebih dari 1 minggu,1,0
Aplikasi gak berguna wooyyy keluarin sertifikat prakerja orang. Gila ya lambat banget lelet Sibuk ngurusin acaranya sendiri. Sampe sertifikat orang ditunda gak ada kejelasan pula gimana2 nya Gak berguna nih aplikasi,1,0
Sangat membantu untuk belanja online,2,0
Zl kok jadi,3,0
"agak merepotkan belanja pertama di toped, pesanan pertama dibatalkan otomatis dan saldo berkurang...untung checkout yg kedua berhasil, mudah2an belanja berikutnya lebih nyaman",3,0
Blm coba JD ksh 1 dulu,1,0
Kenapa di toko pedia banyak toko2 fiktif ya? Saya sebagai driver gojek merasa di rugikan setiap dapat orderan gosend dari toko pedia. Sudah sampai di alamat pengambilan barang tetapi tokonya tidak ada. Malah yang punya toko chat lewat sms kalau suruh jalanin saja.itu yg order pemilik tokonya sendiri. Tolong dong pihak toko pedia agar memberantas toko2 fiktif .,1,0
"Gak usa pake sponsor barang dah,gw mau download video kek apa kek,mesti tiba tiba masuk ke playstore,muncul tokopedia.jan ganggu dong",1,0
Parah bener pesanan dari tanggal 03 desember 2020 ampe sekarang msh blm dipick up mohon pihak toped memperhatikan itu,1,0
Gw klik link bola kenapa muncul lu anjing buat apa gw download lu udh ada shopee,1,0
Tokopedia aplikasi paling ngeselin tiap w pen ke link pasti aja di arahin ke tokopedia Sampah dah Dan Ini aplikasi nya gk bagus,1,0
Buruk bet,1,0
Aplikasi ny jd lemot bgt ya,2,0
Good,3,0
Pelayanan yang baik,3,0
Kenapa tokopedia nggak bisa COD kan nggak bisa keluar rumah buat bayar nya,1,0
Apa di tokopedia bisa bayar di tempat (COD) ...,3,0
Ok,1,0
Min kenapa sertifikat prakerja saya belum muncul?,3,0
Stlh diupdate toped ga bisa dipakai,1,0
krna apa bila ad komplain2 barang kok g ad respon sma skali y dri pihak toko dan tokopedia nya. Dan kurang pengawasan thd toko2 nakal.,3,0
"aneh tokped ,bulan kemarin sy cek tukar tambah hp di tokped masih bisadi hargai hp sy Rp.1 jt sekarang sy coba lagi keterangnya ""Hp anda tidak memenuhi syarat"" kecewa dah.entah apa yang salahnya,mungkin tokped sudah mulai aktif ya Bun...",2,0
Gimana cara mendapatkan hadiahnya...,1,0
👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1,0
Asuransi? Harus kah?,1,0
Susah,1,0
"Tagihan nya di buat keliatan dong, kaya Bukalapak langsung terlihat dan ngga ngilang, di sini tagihan ngilang gajelas, invoice nya mana",3,0
Mantap,3,0
Belanja di tokped ongkir mahal nya enak di toko sebelah murah wkwkwk,2,0
saya udah instal kok waktu masuk langsung keluar lagii kenapaa yaa??????,2,0
Kerja sama dengan toko/feeder yang ga jujur.,1,0
"Kenapa buat download fitur aja kagak bisa"". Buruk amat pelayanan Tokped sekarang",2,0
A Aku Aku v*,3,0
Masa apknya di instal gkkk bisa😐😈😈😠,1,0
Aku kasih bintang tiga,3,0
Tiap abis update slalu lemot...👎,2,0
"Aku blm pernah mencobanx,aku beri ranting dua dlu",2,0
udah belanja di batalin sepihak,1,0
Uinstal aj,1,0
Jarang ada promo dan potongan gratis ongkir.,3,0
"Trx pertama tidak dapat promo, sudah komplain dan disetujui, tapi promo pengguna pertamanya tidak balik lagi. Tokopedia sangat Jelek",1,0
Kok lama ya downlod nya,1,0
up,1,0
Kenapa sekarang sulit didownload,3,0
Saya tidak tau cara mengambil hadiya saya bisa di bantu,3,0
Ok,3,0
"dari sekian banyk coment netizen yg rugi menDownload apk ini,,jadi gua ga jadi download tokopedia😂😂mending lazada,simple and is the best😎",1,0
"Tim tokopediacare, tidak pernah bisa menyelesaikan masalah, muter sana muter sini jawabanya, tak ada penyelesaian sampai sekarang. masalah saya adalah perbedaan alamat pengiriman yang menggunakan kurir Jne. alamat Invoice sudah benar, tapi alamat yg di input Jne selalu salah, dan selalu nyasar ke Kuta utara, dalung, bali.",3,0
"Mau verifikasi wajah aja kok ribet banget sih udah berjam jam ,sudah ikuti instruksi masih gak bisa tolong dipermudah",1,0
"Kalo mau bangkrut, dibangkrutin aja",1,0
Saya blm ngerti cara ngambil hadiahnya,3,0
Ok deh...,3,0
Aplikasi ini tidak enak knp karena saya udah beli benang gelasan layangan padahal saya sudah transfer tetapi tidak ada bukti pembayaran dari tokopedia,1,0
Toko pedia ok hnya bnyak toko untuk prodk bnyk yn palsu kualitas,2,0
"Iklan WIB muncul terus, banyak cashback banyak promo jg, tapi ketika klik promo WIB auto ngelagh banget, gimana mau belanja ,baru buka promo nya aja udah ngelagh , hadeuh payah !!!👎",2,0
bagus,3,0
Komentarnya tentang toko ini 80% Buruk.. Ogah ah Hps instal lagi.mnding di toko yg lain aj..🙏🙏🙏,1,0
"system pembayaran yg berbelit, transfer via bank susah karena pakai bank kaltimtara, gak bisa COD pula.",1,0
"Maaf perlu saya sampaikan bahwa saya ada kendala mengenai pembayaran transaksi, karena tidak punya kartu pembayaran ini kartu itu, saya hanya bisa membayar cash dg cara transfer lewat mbanking, sedangkan fitur Tokopedia tidak difasilitasi, mohon dibantu, makasih",3,0
"Apa apaan barang belum sampai ke tangan tpi kok sudah sampai tujuan... memang tdi pas saya buka notif ada tulisan sampai tujuan... trus saya kaget, barang blum sampai tpi kok sudah sampai tujuan, pas saya klik sampai tujuan tiba tiba saya mengklik selesai dgn tak sengaja... Tpi masa ga ada tanggung jawab buat barang kembali... Saya beli pake uang bos bukan pake daun",1,0
Baru nyobain klo bagus ntar di tambahin dech,3,0
"Bebas ongkir gimana, malah tbtb di cancel sepihak kesel bgt",1,0
penipu lindungan saya pembeli di rugikan parah,1,0
bohong,3,0
sangat memuaskan,1,0
jangan pernah beli sertifikat di sini karna lama turun sertifikat nya,1,0
hallo toko pedia profilnya orange ganteng semoga sukses selalu,2,0
Makin turun pelayanan nya dan isu isu palsu nya dn saya sll tidak bisa top up emony saya biasa nya bisa dn rayuan rayuan promo percuma langganan tokped sering transaksi tp enggk ada nilai tambahan atau bonusan buat apah giliran iklan nya menggiurkan sangat kecewa saya sebagai pengguna tokped dr dulu tidak ada lagi point terkumpul dn bisa di tukar,1,0
Sering error pada saat order dan proses pembayaran.,3,0
Belum pernah coba. Kasih 3 bintang dulu.,3,0
untuk pertamakalinya saya kasih bintang 3. Thank you Tokopedia .,3,0
Please lebih di tingkat kan lg....,3,0
Takes too much storage space,2,0
Bintang 1 aja dlu Klo sertifikat gue udah muncul di dashboard baru gue tambahin,1,0
Yg di beli dak sama di foto sama yg di beli beda saya beli akun free fire kena tipu tolong yg bner aja,1,0
Buat free ongkir dng minimal belanja rp. 0 donk seperti shopee,3,0
"Cara,vote,, dangdut!! Gimana????",3,0
Ok,3,0
Baru mendonload mau coba make,3,0
Kenapa memberi ulasan pelatihan selalu gagal,2,0
"Sangat di rugikan oleh aplikasi ini, saya ikut program prakerja, proses uplod sertifikat lama, karna hal itu saya blm bisa lagi ikut pelatihan. Nyesel bangt beli pelatihan prakerja di tokopedia.",1,0
💙💕🌝💏😅💚😋😈👾🙏😭😜☝💌💍💎🌚🌈❤💔💜😊😁😂😃🐶🐩🐱🐭🔰💄👞👟🏠🏡🏣🔝🔙🔛🔜🏠🏡🏢,2,0
"Bintang satu aja dulu soal nya ngx bisa di jadi kan voucher, nyesel saya dowload nyo.. Asu",1,0
Saya sdh instal tapi diminta oleh instal terus,3,0
Ada kupon beli pulsa dipotong 15 .000 ku beli pulsa 15.000 batal batal terus oi kalau gk mau kau orang dapat gratis gk usah kau bikin kek gitu,1,0
Terimakasih dah boleh gabung tokopedia,3,0
Ovo play laternya sudah tdk ada,1,0
Lemoooootttttt.. Kebayakan update.. Tambah lemooottt,1,0
apk yang sangat goblok,1,0
Lumayan dulu ya,3,0
ehsh,2,0
eeeee RRR Rere e RSS ezezzs re z Dr eess3ers dessert RT rest dd re serta d ss dan sesuai s Tse seperti ez es redeeeeeerrrrerrr eeDr rr re rr44r3 RRR r dare e,3,0
Toko pedia semakin maju ke depan,2,0
"C#azan berkumandang,, . 49",2,0
asu,1,0
Ini aplikasi knpa deh Masa lag terus,1,0
Okmi,2,0
Ok,3,0
Ini Tokopedia gmana nih katanya promo pas udah bayar kok dibatalin secara sepihak 😤😤😤😤,1,0
NGASIH SARAN MELAPORIN KE TIM TOKO PEDIA DIRESPON JUGA SAMA AJA JAWABAN NYA KAYA GITU GITU AJA POKOKNYA APK TAI INI PENGHAMBAT INSENTIF ORANG AJA GAK GUNA,1,0
Nice,3,0
Saya kasih bintang satu karna belum downlod makasih,1,0
Belum,3,0
Asu,1,0
"Sudah aktif semua padahal cuman kok gak muncul"" salah dimana ya. Imail sudah sesuai semua.",3,0
Jelek amat,1,0
"Tokopedia kenapa si? Aku mau buka tokopedia play engga bisa, selalu ada tulisan ""coba lagi"" coba lagi aja mulu ampe ayam bisa beranak. Trus waktu mau konfirmasi nomer hp aku gadapet kode verifikasinya, kudu ngulang mulu. Uda chat di twitter tokopedia care slow respon mulu, akunya chat kapan di bales kapan.",1,0
Lookko,2,0
"Kenapa semua kupon tidak bisa di pakai? Jelas2 sudah memenuhi s&k tetep aja error, nyesel update malah jadi aneh",2,0
Siap,2,0
"Jangan mau di bodohin sama aplikasi ini apalagi kalo yg mau beli platfrom prakerja di sini ujung ujung nya kalian bakalan nyesel apalagi kalo soal sertifikat yang lama keluarnya ,, aplikasi terlelet, saya saranin mending beli di bukalapak aja!!",1,0
Kenapa realme c11 tidak bisa di tukar tambah???,1,0
Kenapa gk bisa di buka toko pedia nya Udah di download tapi gk bisa di buka,2,0
"Data diri gak aman disini, pindah online shop aja Disarankan untuk menguninstall aplikasi ini / jika belum di install mohon untuk tidak menginstallnya",1,0
"Saya seorang yg di karuniai hidup berkelana Remja di Jakarta 9 th sumatra SABANG kembali pulai Jawa sekarang di Papua Harapan punya penghasilan Pasif Maksimal belum gersentuh ,,",3,0
Tampilanya kok sekarang begitu. Intinya ribet,3,0
Untuk robux,2,0
"Biaya iklan membingungkan, tidak simple, dan cuma ada 1 opsi. Barang jadi susah laku.",2,0
"Update nya susah , lama , gabisa bisa -_- pdhl jaringan lancar , astaghfirullah udah berulang ulang ;(( ingin ku berkata kasar , kecewa lagi nih sama toped , soal prakerja yang sertifikat nya sampai sekarang belom ada di dasboard;( pdhl yang pelatihan bareng saya udh pada dapet insentif;((",1,0
Bikin yg versi lite dong gratis ongkir klobisa,1,0
ccccc'cc cruzuuaqqqqq C viewed archaic AAAABAAL d,3,0
Lagunya jelek,1,0
Mengganggu,1,0
"Saya suka Tokopedia, tapi Saya gk suka sama penjual yang lama ngekonfirmasinyaa, padahal si penjual online, Saya pesen barang bersamaan di Tokopedia dan di Shopee, di Shopee langsung dikonfirmasi, tapi Tokopedia belum sampe skrng, pdhl penjualnya online. Saya kecewa banget 🙃",3,0
"Saya sdh login n memasukkan email dll,ttpi tak ada kode verifikasi ny tp kl sdh di uninstall mlh br mak kode verifiKasi ny gmn si ni",2,0
"Sudah berapa bulan ga bisa masuk Tokped via App Android di HP sy, kalo lewat browser bisa minta Update trs padahal sy ikutin tp tetep server/koneksi eror",1,0
"Agak kecewa sama fitur tukar tambah ada kesalahan saat print alamat padahal alamatnya untuk belanja bisa sampai rumah,kurirnya juga males malesan kaya enggk niat",2,0
3 stars dulu. baru pertama Kali menggunakan.,3,0
"Aplikasi tidak bisa di gunakan untuk mengecek barang yang sudah di beli sudah seminggu lebih aplikasi tidak bisa di gunakan ""selalu terjadi kesalahan, silahkan coba beberapa saat lagi""",2,0
"Terlalu banyak biaya saat pengiriman,,ongkirnya mahal2",3,0
Baru coba,3,0
Dpt voucher cashback trus dipake. Sudah bayar masa dibatalkan dgn sendirinya.. BLOKKK... Aku cinta shopee,1,0
Baru pertama buka aplikasi ini,2,0
Sangat mengecewakan saya beli hp Redmi 5 A ko!!! Malah samsung gimana sihhhhh,1,0
Taiii,1,0
Update trus ...,3,0
Saya batalkan pesanan tapi kenapa saldo nya ga balik ya.?,2,0
IKLAN LO SAMPAH,1,0
JANGAN BELANJA DISINI TRANSAKSI DIBATALKAN SEPIHAK TERUS. BARU KALI INI ADA APLIKASI SERING MEMBATALKAN PESANAN SEPIHAK. RIBET AMAT SIH LO,1,0
Sangat membantu,3,0
Asu,1,0
Akun hilang tanpa sebab.. padahal pake facebok.. Tapi ga bisa login.. Udah bolak balik kirim email.. yg jawab bot. Hubungin costumerserfis di jawab bot lagi.. Bolak balik tak terselesaikan . Nomer laporan. 21004521 Sudah kirim foto ktp buku tabungan bukti pembayaran juga ga ada jawaban,2,0
udh bbrapa kali d dwmload tp pas udh 99^%malah g bsa ....,1,0
Susah dinstal yah lama,2,0
Tidak suka muncul trus,1,0
Anjing layaknya seperti iblis tokopedia ini,1,0
Dasar toko kok pedia pap pAp pap parAcpshjnnn,1,0
Inilah bentuk kepedulian saya terhadap Tokopedia yang lebih mengutamakan pelayanan kepada pelanggan nya,1,0
Ingin cari barang keluarnya terjadi kesalahan koneksi terus padahal pake wifi,1,0
Diskon yg 99% cuma pancingan.. padahal saya stanby dari jam 9.. . saya klik gk bisa..,1,0
Thank,1,0
Agak lambat,1,0
"Tolong buat tokped , pelayanaan buat pelapak diperbaiki. Saya belanja dengan total 8 juta lebih Ampe dua hari uangnya belum masuk ke pelapak. Saya jadi ditelpon terus oleh pelapak terkait pembayaran saya.",1,0
Ribet berjualan di tokopedia pencairan dana hasil jualan aja mesti nunggu 3x24 Ngk kayak aplikasi si merah BK proses pencairan dana hasil jualan ngk sampai 5 menit,3,0
"Download nya lma sekali,jgn sampai nanti pemesanan dtg nya juga lama bisa cod gk sich beli ditokopedia ini",1,0
Semenjak aplikasi diperbarui jika direfresh aplikasinya berhenti. Saya egk tau penyebabnya. Udah dihapus terus didownload sma aja tetep gitu,2,0
Mau instal aja susyaaahh 😑😑,1,0
Update tross,2,0
"Ok., sip.",2,0
Mahal ongkir dan masih bamyaknya seller yang bokis,1,0
N. mm..M,1,0
Masa saya ingin beli tapi kok ongkir nya sampai 62 RB padahal aku cuma beli pelindung wajah cuma 4000Rb,1,0
krna saya pemula dan newbie jd bintangnya segitu dulu y,2,0
Aplikasi kontol kalo mau iklan ngotak kontol,1,0
Ko dari tadi mau download ga bisa ya,1,0
Mb nya dikurangin sih belagak,1,0
Gue install ni apk cuma biar bisa kasih rate. Gue kasih rate satu karna iklan lo ganggu gue browsingan jn*k,1,0
"Mohon maaf bila masih 3 bintang. Saya pengunjung baru Tokopedia. Saya akan kasi 5 bintang ke depan apabila: 1. Responsif terhadap keluhan coustumer. 2. Tidak melulu menyarankan masuk ke situs/link apabila coustumer mengalami masalah. Transparan juga cukup baik dan membantu banyak pihak. 3. Produk sesuai pesanan coustumer (kalau minta kawe kasi kawe, kalau minta ori kasi ori, jangan yg diminta ori yg sampai ke coustumer yg kawe (aspal:asli palsunya)). Cukup ini saja utk membuat kami percaya.",3,0
lemot sekali sekarang...,2,0
"Dunia tanpa batas, dan penipu pun tanpa batas disini. tolong ya dari pihak tokopedia untk lebih bijak lagi dalam menanggapi keluhan pembeli, jgn di pihak penjual² yg nakal terus. tanpa kami para pembeli, tokopedia tdk akan sesukses ini, jd tolong lebih bijak dan tanggap dlm menyelesaikan keluhan kami para pembeli yg di tipu habis²an dgn penjual yg super² nakal. Dan tolong dari pihak tokopedia untuk mengcancel orderan saya yg tidak kunjung dikirim smp skrg INV/20200729/XX/VII/5957466. Terimakasih",1,0
tokopedia terlalu lama waktu proses pembatalan 9x24 jam,1,0
Tempat belanja yg aman ini kan,1,0
Baru juga masuk udh update hadehh🤦,2,0
Aneh ko di dekstop ga ada shortcut nya,1,0
Sangat membantu,3,0
Kurang bagus,2,0
28 a¹,2,0
Kerennya Tokopedia 😁👌,3,0
"Bagaimana ini, saya tidak bisa memberikan rating prakerja saya di tokopedia?",1,0
Tak kasih dua dlu kayak susah amat,2,0
Katanya gratis ongkir 🤣,1,0
Jelek ah,2,0
"Sya sdh membeli pelatihan d skill academy,, sdh mengikuti smua pelatihan dan sdh mndptkan sertifikat... Tp kok d dashboard prakerja sy blm ada serifikatx masih 0... Mohon penjelasanx....",3,0
Lumayan,3,0
"Kok update terbaru chat seller malah delay, pea banget sih ni app tambah update tambah jelek",2,0
cara bayar di tempat gmn?,1,0
Coba dulu,3,0
"Sayang sekali, pembayaran via cicilan kredit... AKULAKU tidak bisa",3,0
Gimana cara paswod loginnya,3,0
Kenapa cesbek ovo poinnya belum masuk .padahal sy pake promo cesbek lo maap trima kasih...udah cesbeknya ga ada eh barang yg d pesan datang sampai kerumah baru.20minut mati kecewa sekali,1,0
Kaga bisa apload oncom,1,0
Privasi data diri gak ada harganya disini,1,0
Waktu pilih barang tertera pembayaran bisa lewat COD kenapa klik transaksi bayar tidak ada pilihan lewat COD mesti lewat transfer juga akhirnya,2,0
makin ribet apknya,2,0
Penak tora iki aplikasine,1,0
"toko saya di blokir ,hasil dagangan saya juga jadi hilang ,saya sudah komplen blom di respon",1,0
Nur,3,0
Jelek banget !!!!,1,0
😀,3,0
Mantap,3,0
biasa saja,3,0
semakin baik.semakin di tingkat kan..bravo toko pedia.,2,0
Bagus,3,0
baik,3,0
Padahal data internet saya masih 10gb. Tapi kenapa setiap sercing sercing ke toko tidak bisa di akses.,1,0
Harus 3 mb,1,0
Aplikasi ini barang mahal mahal,1,0
Dear tokopedia tercinta.... Knpa bts nya cuma wawancara doang trus nyanyinya cuma 1x.. Malahan bnykn marketing nya😭😭😭😭😭😭😭,1,0
ini kok palsu anjikm,1,0
"Bintang 3 dulu ya karena yang bisa COD cuma sedikit.kenapa OVO Paylaternya tidak bisa cuma dalam perbaikan terus,sudah berapa bulan perbaikan tapi gak selesai2 bangkrut ya?saran saya kalau gak bisa di gunakan di hapus ganti PayLater yang lain",3,0
"Tiba2 di refund, buat beli lg saldo ga bs",1,0
Saya mendapatkan uang 400 ribu gimana ambilnya ka..,1,0
"Saya pengguna shopee yang pengen pindah ke tokopedia sebab ini aplikasi buatan indonesia tapi kenapa ya saya selalu gagal buat metode pembayaran instant lewat ovo. Pasti selalu ga bisa, padahal udah bener semua.",3,0
Kacauu tidak sesuai,1,0
Ini kenapa setelah di update kok malah eror.kranjang tidak bisa dibuka.Yg lain diklik malah coba lagi.,1,0
Good,3,0
"Tai malah eror padahal lagi transaksi, udah di bayar tapi voucher gk ada masuk2",1,0
Apk ini engak bagus,1,0
"Baru pertama beli di toped, Beli celana warna mocca, datengnya warna hitammm. Keceqa banget sih",2,0
Betapa susahnya saat melakukan pembayaran via ovo sering terjadi error koneksi pdhal sinyal hp 4g,3,0
"Ada apa dengan tokopedia, saya Baca di ulasan ada beberapa orang yang kasusnya sama dengan saya, dapat voucer diskon tapi setelah di pakai transaksi malah di batalkan. Bukan masalah saldo kembali, tapi kenapa bisa begitu ?????",2,0
Bagus aplikasinya,3,0
Saldo penjual kepotong bukannya memberikan solusi yg sesuai malah hanya sebagai formalitas. Pengguna tokopedia emang harus ngeluh kemana kalau customer carenya tidak bisa ngadepin customer 1by1 seperti di marketplace lain. Udah gitu pembeli nakal dikasih celah sama tokopedia. Sekelas unicor masa seperti ini sih.,1,0
Lebih bagus kalau ada kupon potongan harga untuk semua barang di tokopedia setiap minggu sekali.,1,0
Sangat buruk nimbun sertifikat dari pihak skillacademy udh di serahin ke tokped eh mlh sama tokped di timbun kacau dah,1,0
Updatenya maksa,1,0
"Coba beli di toped kok ditunggu tunggu barangnya gak dikirim,coba lagi deh kalau sukses tak tambahin bintangnya",2,0
Sekarang lemot ga kaya dulu lagi,2,0
Aplikasi yang cukup bagus,3,0
knun.,3,0
"Tokopedia play nya di permudah lah,jgn dibikin nyusahin ajg",1,0
"tiap saya ke website manga selalu di alihkan kesini anj, sangat menggangu.",1,0
Siip,1,0
"Akun buat belanja terblokir, gimana sih ini. Mending beralih ke shopee",1,0
"susah kalo mau refund tarik saldo langsung tf ke rek bank,pdhl udah mengikuti panduan nya ,di coba berkali2 tetap gak bisa stlh verivikasi kode selalu muncul nya time out alias waktu habis dan harus login ulang😤...inti nya mah uang yg udah masuk harus di belanjakan lagi di tokped gak bs di balikin cash...pinter daahh tokped👍👍",3,0
"Ko saya dapet voucher pengguna baru pas udah dipayment dan sudah tgl kirim penjual tiba"" dicancel oleh penjual dan voucher pun hilang, ini strategi apa gimana ya? Soalnya saya baru pertama transaksi tapi udah gini.",1,0
Lebih bagus lazada tokopedia nipu doang,1,0
Kan di aplikasi di bilang bebas ongkir kok saya mau bayar dan beli barang kok di minta bayar ongkir gmn nih saya mau beli malah dikasih durasi ongkir . Katanya bebas ongkir gmn si,2,0
"Min ini kenapa kalau habis update produk, harus keluar dari aplikasi tokopedia dulu, baru bisa ke update ya produk nya? Tolong di perbaiki dong atau ada saran apa?",2,0
Banyak skali iklan Tokopedia. Menjengkelkan,1,0
"Maaf, Perbaiki lagi iya review & rating",1,0
Good,2,0
"Sy sdh lama langganan di tokped, knp skrg tetiba sering logout",1,0
Langsung laku tambah dimota jogja dong,3,0
Lambatv ekali pas mau install,2,0
Jangan update aplikasi mulu ya. Kayak game. Saya di sini mau belanja. Bukan tukang download. Klo update terus saya APUS nnt Tokopedianya.,3,0
Ini gimana mau masukin barang ke keranjang belanja aja gak bisa bisa,2,0
"Sok ngasih voucer belanja, terus gk bisa di pakai anjjiiiing",1,0
Jelek,1,0
Update terus ampe hp ntar blank buka tokopedia gila kali ye,1,0
COD TIDAK ADA ARTINYA BELUM TERPERCAYA,1,0
S20,2,0
Aplikasi ini tidak membantu penghasilan saya.... Apk ini semakin memperburuk penghasilan saya. Di keterangan pengiriman sampai di pembeli tanggal sekian. Tapi sudah lewat batas tanggal nya malah belum datang.... Hmmmm.... Saya uninstall dah.... Sangat mengecewakan... Saya sampai di marahi pelanggan saya gara2 produk nya belum datang,1,0
Tolong lah cepat kan instal toko pedia tolong cantik,3,0
Aku benci lihat app ini soal nya mau main game aja harus iklan tokopedia hali app hoak 👎👎👎👎👎👎👎👎👎,1,0
Kapasital terlalu berat.. Lama d instal,1,0
"Kebanyakan iklan dari web anjing, gak puas apa nambah duit dari iklan di web? Kemanapun click tujuannya ke ini aplikasi, tolonglah, udah kaya gak usah terus nyusahin orang lain babi",1,0
Ok,1,0
Udah buat akun. Mau Isi saldo tapi kok ribet banget.. Gak seperti yg lain-Nya.. Suruh pake Ovo premiere.. Ya sudahlah gak isi saldo aja.. Ovo nya juga sedang banyak masalah tentang premiere itu. ..,3,0
Kok banyak yg komplain?,1,0
Lumayan,3,0
"Di tokopedia untuk barang2 sih murah2,tapi sayang produk tembakau ga bisa di cari sekalipun ketemu ga bisa di beli pake android. Ga semua pelanggan pake pc,ios dll.android gadget yg mayoritas. Kalo pun mau ada pembatasan,tolong di lihat detail usia pelanggan itu sendiri,misal foto ktp gitu. Yaudah uninstall lg dah.mending cari di sebelah",2,0
Kenapa gaada barang gratis kuota gratis rumah gratis dan hp gratis pun gaada,1,0
JANGAN INSTAL APLIKASI INI MIN MAU TANYA CARA UNINSTALL DAN HAPUS TOKO SAYA DI TOKOPEDIA BAGAI MANA YAH??? SOALNYA DAYA MALES Pke TOKOPEDIA MIN...KARENA TIBA TIBA AKUN SAYA TIDAK BISA MENGGUNAKAN VOUCHER ATAU PROMO YANG LAINYA...TANPA ADA KEJELESSANN SAMA SEKALIIIIII ..,1,0
Oke,3,0
Top,1,0
"Apk Mengecewakan. Selalu sambungan ke jaringan, padahal paketan masih banyak. Walaupun pakai wifi tetap gk bisa masuk.",1,0
"Mantap dan bagus,",3,0
Tokopedia selalu lambat bikin aku marah sekarang aku nyerah dan hapus aja tu Tokopedia,1,0
"Nggak bisa COD, kayak Toko sebelah.",1,0
umu ...,3,0
"Aplikasi bodoh yg ndak punya engine sendiri, full load internet. Kalo ada masalah koneksi dikit rumit harus buka tutup berkali2. karuan kan buka pake chrome aja ndak usah bikin2 aplikasi",1,0
Sediakan COD dong.. Untuk kota kota kecil diluar pulau jawa. Jangan hanya dikota besar aja. Biar merata.,2,0
Hoax katanya saya dapat iphone dan siap di kirim. Mana??,1,0
"Setelah d update aplikasi keluar sendiri, kcwa",1,0
Gak bisa cicilan untuk kartu kredit CIMB,1,0
Lambat pengiriman nya,1,0
Lama amat diinstal nya,1,0
"Buat promo eh tapi palsu malah pesanan gagal mana udh dibayar mau ditarik tapi blm ada bank, apanya yg pelanggaran coba? Aduh g fhm g bgs sih apkny :(",1,0
Iklannya gratis ongkir seluruh indonesia di buka aplikasinya disitu juga ada lebel gratis ongkir pas dipesan eeee malah ongkirnya yang lebih mahal ternyata tipu2😂😂😂 kalau nggak gratis jangan bilng gratis😇 ngakak aku,1,0
Aplikasi nya sangat bagus dan menyenangkan tapi saat membukanya kok langsung eror tolong di perbaiki ya!!!,3,0
Terpaksa aku hapus karena gak bisa COD sedang pembayaran paling gampang cabang tokopedia satu satunya di kecamatanku gak pernah buka,1,0
Udh bau kadruuun skg.,1,0
