content,score,sentimen,content_clean
gara2 bg kan link prakerja. yg muncul ini. aneh. trus dpt vhoucher 300k. mn??? hmmm,1,0,gara link prakerja muncul aneh vhoucher hmmm
"Saya beli satu barang,tiba tiba penjual nya ngebatalin pesanan saya,dan uang saya blom di balikin,,mau nelpon cs tokped aja susah,,dan prosesnya ribet,seharus nya uang nya langsung di balikin aja tanpa mengadu ke cs tokped,,,",1,0,beli barang jual ngebatalin pesan uang balik nelpon cs tokopedia susah proses ribet harus uang langsung balik adu cs tokopedia
"Saya pesan barang melalui Tokopedia dgn menggunakan jasa expedisi SiCepat dan barang pesanan saya hilang ga tau kemana...saya minta investigasi di kirim kelapangan tapi ngga ada satu pihak perwakilan Tokopedia atau SiCepat yg datang dan setelah melakukan diskusi yg berbelit2 akhirnya dana saya baru dikembalikan, ini membuktikan bahwa dr pihak management Tokopedia blm bisa menerapkan SOP yg baik buat vendor expedisi dan juga proses solusi nya terlalu lama dan berbelit.",1,0,pesan barang tokopedia jasa ekspedisi sicepat barang pesan hilang investigasi kirim lapang wakil tokopedia sicepat diskusi belit dana kembali bukti management tokopedia terap sop vendor ekspedisi proses solusi belit
"Ribet amat kalo mau nanya komplen,, gak ada no telp CS nya payah!!! Perusahaan sebesar ini kok ga punya no telp CS nya, gimana sih",1,0,ribet complain telepon cs payah usaha telepon cs gimana
Mengamati keadaan dahulu,1,0,amat
"Pesanan saya belum juga sampai, sudah lebih dari 1 minggu, estimasi ngalah²in barang yg dikirim dari luar negeri.",2,0,pesan minggu estimasi ngalah barang kirim negeri
Saya turunin lagi Bintang nya. Soalnya saya baru Topup saldo grab driver melalu tokopedia sebesar 100 rbu. Tapi yang Masuk 10 rbu. Saya sudah Komplen lewat email tidak ada tangapan. Kami mitra grab sangat membutuhkan saldo.,1,0,turun bintang topup saldo grab driver lalu tokopedia ribu masuk ribu complain email tangap mitra grab butuh saldo
PAYAH!! MENGECEWAKAN!! SAYA BELI PULSA GAGAL TERUS. SUDAH SAYA ULANG BERKALI-KALI TAPI TETEP GAGAL!!! PAYAH! NGGA RECOMEND DOWNLOAD. KALAH SAMA OLSHOP LAIN,1,0,payah kecewa beli pulsa gagal ulang kali gagal payah recommend download kalah olshop
Kurang banyak tokonya,1,0,toko
"ovopaylater nya blm di kasih..jadi kasih bintang 3 dulu. nanti kalo udh di hidupin/aktif, kasih bintang 5... 😁",3,0,ovo paylater kasih kasih bintang hidupin aktif kasih bintang
No komen,3,0,komen
iklan nya dimana mana tod,1,0,iklan tod
Saya mnt tolong disegerakan. Ini sudah lewat 1×24 jam dari status penjualan selesai,1,0,mnt segera jam status jual selesai
Toko pediaaaa!!!!iķlan anda!!!!!!!anj*ng,1,0,toko pediaaaa lan anj
Berjualan di tokped payah. Jual barang kok dananya di review ditahan. Padahal barang sudah di kirim dan diterima dengan baik oleh pembeli. CSnya juga tidak sigap alisan lambat membalas dan membantu menangani masalah ini.,1,0,jual tokopedia payah jual barang dana review tahan barang kirim terima beli csnya sigap alis lambat balas bantu tangan
Gk sukaa,1,0,sukaa
"Mohon maap, apk kok jadi parah gini ya.. Sering ada gangguang di rumah toped, transaksi dibatalkan sepihak dan pengembalian dana hrs nunggu repot utk yg uangnya pas2an, byk penjual yg g jujur (jual gbr, brg g sesuai, mau komplain ribet/lama), dpt CB taunya g msk ke ovo. Perlu perbaikan bgt ini, semoga bisa cepat diperbaiki krn apk ini ternyaman.",1,0,mohon maaf aplikasi parah gangguang rumah tokopedia transaksi batal kembali dana tunggu repot uang pas jual jujur jual gbr barang sesuai komplain ribet tau masuk ovo baik banget moga cepat baik aplikasi nyaman
Mancap,3,0,mancap
"Ini aplikasi nya knp mba/mas admin suport mau blanja kok nya pilihan bayar nya cuma pake ovo, yang lain gak ada sama skali. Maksudnya gimana ini min...???!!! Pindah ke toko sbelah ajalah kalau gak bisa maaah",2,0,aplikasi mba admin suport belanja pilih bayar pakai ovo maksud gimana pindah toko sbelah maaah
oke,3,0,oke
Kagak bisa di install,1,0,install
"Admin costumer-first squad a/n ariel pecat saja, tidak objektif dala menyelesaikan permasalahan dalam komplain. Bikin rugi seller. BAD EMPLOYEE, BAD APPLICATION, BAD CORP",1,0,admin costumer first squad ariel pecat objektif dala selesai masalah komplain rugi seller bad employee bad aplikasi bad corp
Hp saya Infinix Smart 3 Plus gak ada ya pas mau di tukar tambah,1,0,hp infinix smart plus pas tukar
asunaro,1,0,asunaro
"Iklanyanya sangat mengganggu,di hp saya.",1,0,iklanyanya ganggu hp
"Aplakasi ****** kenapa mau download film selalu ke aplikasi,merepotkan aja ***",1,0,aplakasi download film aplikasi repot
Jelekkkk pemesanannya tidak ad nomor kurir jdi gk bsa hubungi kurir gk kya apk oren,2,0,jelekkkk mesan nomor kurir hubung kurir aplikasi oren
Melayani pengiriman ke timika papua ngga?,2,0,layan kirim timika papua
Good,3,0,good
Saya dagang lewat toped ternyata ongkir beda dengan kurir,1,0,dagang tokopedia ongkir beda kurir
"Penjual ramah, tapi tlg beri kepastian garansi yg jelas utk produk elektronik terutama laptop. Agar pembeli tdk ragu.",3,0,jual ramah pasti garansi produk elektronik laptop beli ragu
"Di update malah bikin ga nyaman, all transaksi malah ada pada sub kategori sedangkan menu utama di isi feed & official store, ditambah lagi transaksi yg tinggal menunggu pembayaran itu ga ada jadi kita gabisa tau transaksi mana yg belum dibayar, ditambah lagi transaksi yg dibatalkan karna lewat batas pembayaran itu ga ada jadi kita bisa buat pesanan ulang. Tolong harap diperbaiki, ko makin sini makin aneh aja menunya",1,0,update nyaman all transaksi sub kategori menu utama isi feed official store tambah transaksi tinggal tunggu bayar transaksi bayar tambah transaksi batal batas bayar pesan ulang harap baik aneh menu
Diupgrade kenapa jadi tidak bisa gunakan filternya?????,2,0,diupgrade filter
Iiih aku bingung gimana cara verifikasinya sedang kan tanda ikon titik 3 nya aja gak ada pembelia barang ku dibatalin muluk 😡,2,0,iiih bingung gimana verifikasi tanda ikon titik belia barang batal muluk
"Saya kecewa dengan tokped karena pengembalian uang pembelian prosesnya lama udah hampir 2 bulan janjinya 2 minggu , kepercayaan dan profesionalnya mengecewakan .",1,0,kecewa tokopedia kembali uang beli proses janji minggu percaya profesional kecewa
Aplikasi bermasalah hanya bisa lihat tapi tdak bisa pesan padahal biasanya bisa sdh pesan berkali kali n pdhl sdh diupdate,2,0,aplikasi masalah lihat pesan pesan kali diupdate
"Lumayan parah, dah berkali2 komplain tetapi aja mintanya kronologinya gmn,gimn kronologinya, lah terus gue harus bilang WOW gt, biar topednya jwb:ehhh iya, ternyata saya yg salah.maaf Semoga aja tau diri",1,0,lumayan parah kali komplain minta kronologi gimn kronologi bilang wow biar topednya jwb ehhh salah maaf moga
Keterangan Internet terputus terus..,3,0,terang internet putus
Saya beli pelatihan prakerja ditokopedia dengan email yg berbeda dengan prakerja saya. Bagaimana solusinya ya. Krn terhalang dalam pemberian ulasan dan setifikat saya.,2,0,beli latih prakerja tokopedia email beda prakerja solusi halang beri ulas sertifikat
Setelah ovo tak bisa di Alfamart saya pindah ke sebelah yg bisa isi di Indomaret,3,0,ovo alfamart pindah belah isi indomaret
Segera hapus tokopedia demi keamanan kalian nanti kalian akan di jual akunnya segera hapus,1,0,hapus tokopedia aman jual akun hapus
Update terus giliran sudah diupdate malah jadi lemot sekali,1,0,update gilir diupdate lot
"ribet gratis ongkirnya, gak kaya sebelah. tinggal pilih untuk semua ekspedisi. ni cuman buat ekspedisi tertentu doang.",1,0,ribet gratis ongkirnya kaya belah tinggal pilih ekspedisi ekspedisi doang
kenapa sesudah di update apk ini jadi makin payah.. tarik saldo atau pakai saldo kenapa tidak bisa itu uang saya bukan uang ghaib,1,0,update aplikasi payah tarik saldo pakai saldo uang uang ghaib
Segera selesaikan masalah sertifikat prakerja,1,0,selesai sertifikat prakerja
Aq kasih bintang 2 aj karena nggak ada COD nya,2,0,kasih bintang cod
"Sering hang/lag/blank, jadi ga nyaman.",1,0,hang lag blank nyaman
bagus,3,0,bagus
Saya sangat kecewa dengan aplikasi ini Masak harus beli mahal dulu 80sampai90 dlu baru gratis ongkir kecewa x saya dengan aplikasi ini maaf ya,1,0,kecewa aplikasi masak beli mahal gratis ongkir kecewa aplikasi maaf
Bingung saya,1,0,bingung
"Sangat kecewa kenapa prakerja dipersulit☹️, sertifikat di dashboard gk mau keluar pdhal udah 100% semua, ulasan gak bsa diisi klo gk bisa diisi beraty udh ksih ulasan katanya, fktanya udah 12 hari gk kluar2 didash board😫😤 sangat amat kecewa",1,0,kecewa prakerja sulit sertifikat dashboard ulas isi isi beraty kasih ulas fktanya didash board kecewa
"Gue ngak tahu kenapa gua gak bisa top up diamond untuk game free fire ,tolong pihak develover perbiki aplikasinya ya",1,0,top up diamond game free fire develover bik aplikasi
daftar pengguna baru giliran mau reedem tapi ga bisa hhaaa malah batal otomatis,1,0,daftar guna gilir reedem hhaaa batal otomatis
SANGAT RUGI SAYA PESANANNYA GK SAMPE²DIRUMAH PADAHAL UDAH DIBAYAR ALAMAT RUMAH BENER MENYEBALKAN,1,0,rugi pesan rumah bayar alamat rumah sebal
langkah2 pembayaran pakai credit card ribet bgt klo di toped ini,3,0,langkah bayar pakai credit card ribet banget tokopedia
"Bagus mudahin belanja ,tapa jangan bocorin data gw tolol",3,0,bagus mudahin belanja tapa bocorin data tolol
Baru bergabung,3,0,gabung
Iklan kau ganggu digoogle !!!,1,0,iklan ganggu digoogle
Ckup bagus,3,0,ckup bagus
"Sistem tokopedia makin membingungkan bagi seller , mau pasang iklan saja banyak errornya, sistemnya tidak sebagus yg dulu.. Trus juga makin membuat seller rugi.. Ayolah pengertian sedikit,kondisi sudah sulit, jangan makin dipersulit.. Kalau makin error, juga makin besar potongan admin dan gratis ongkir, bikin setiap seller jadi hilang semangat berjualannya :(",2,0,sistem tokopedia bingung seller pasang iklan errornya sistem bagus seller rugi ayo erti kondisi sulit sulit error potong admin gratis ongkir seller hilang semangat jual
Ngirim gambar lewat chat susah amat... Trs kl size gambar gede.. Malah gak pernah tampil gambar di chating an nya... Benerin dong...,2,0,kirim gambar chat susah size gambar tampil gambar chating benar
Semoga aku dapat barang yg aky ingin kan,3,0,moga barang aky
Tokopedia skrg mahal... Gk bnyk promo lg. Kalah dgn toko sebelah,2,0,tokopedia mahal promo kalah toko belah
"Makin pelit diskonan, saya pengguna lama toped..",3,0,pelit diskon guna tokopedia
3 ajha dlu,3,0,ajha
Satu dulu lah,1,0,
BERHENTIKAN BTS lahhh SAYA JDI B0SAN BTS MULU,1,0,henti bts lahhh san bts
😉,3,0,
"Katanya gratis ongkir seluruh Indonesia,,, tpi ternyata ongkirnya mahal banget,,,",1,0,gratis ongkir indonesia ongkirnya mahal banget
Woii lazada Lama lama gua report juga elooo Lagi nonton anime malah ada pemberitahuan takopedia 🤬🤬🤬🤬,1,0,woii lazada report elooo nonton anime pemberitahuan takopedia
Kenapa top up grab driver tidak bisa,2,0,top up grab driver
DATA DICURI TOKPED LARI DARI TANGGUNG JAWAB,1,0,data curi tokopedia lari tanggung
"Iklan di mana""",1,0,iklan
Blm pernah,3,0,
Erorrr,1,0,erorrr
Saya suka,3,0,suka
Susah sekali memverifikasi no telfon .selalu gagal,1,0,susah verifikasi telfon gagal
"Mending belanja di shoppe, pelayanan admin nya ribet dan lambat kalo ada masalah",1,0,mending belanja shopee layan admin ribet lambat
Rumah topednya error terus saat ganti nomor hp padahal sudah foto ktp sama rekening yg di minta,1,0,rumah topednya error ganti nomor hp foto ktp rekening
Maaf ya saya kasih binta 2 krena sya bingung dengan aplikasi nih lah kenapa pemesanan sya di batalkan dn uangnya juga tidak ada di kemblikan ??? Maaf ya saka sedikit kecwa banget 🙏🙏 Tolong dong kak di perbaikin sistemnya sya sudah Coba update tpi hasilnya juga tidak ada kembalina uang dan brang yang saya pesan juga tidak nongol 😭😭,2,0,maaf kasih binta bingung aplikasi mesan batal uang kemblikan maaf saka kecwa banget baik sistem coba update hasil kembalina uang barang pesan nongol
"Pemilihan kurier nya sedikit ribet. Ga bisa cek estimasi biaya kirim di awal, harus checkout dlu. Login nya juga ribet saat nomor hp udah ga aktif. Saya sampai punya akun toped 3. Gegara pengajuan nomor hp ga di setujui. Ga praktis lah. Ga kaya yang sebelah.",1,0,pilih kurier ribet cek estimasi biaya kirim checkout login ribet nomor hp aktif akun tokopedia gara-gara aju nomor hp tuju praktis kaya belah
gratis ongkirnya boongan,2,0,gratis ongkirnya boongan
"ada apa dengan Tokopedia? mau beli top up grab driver malah ga bisa, malah terjadi kesalahan koneksi, padahal internet di sini bagus, tolong perbaiki.",1,0,tokopedia beli top up grab driver salah koneksi internet bagus baik
"saya sudah di pusat resolusi sudah seminggu gak ada tanggapan tokopedia, jangan suruh2 tterus menerus ke pusat resolusi, di situ gak ada tanggung jawab pihak tokopedia, sudah hampir seminggu, kemana haris komplain, org gak ada balasan, gak ada respon janhan kaya gtu donk, tokopedia sm penjual yg untung kalau begini saya pembeli barng gak di kirim sudha mnggi lama gak ada respon. saya mau di selesain hari ini, no komplaim saya 1465858 jgn suruh lagi ke pusat resolusi saya sudah mnuggu trus",1,0,pusat resolusi minggu tanggap tokopedia suruh tterus terus pusat resolusi tanggung tokopedia minggu haris komplain orang balas respon janhan kaya tokopedia jual untung beli barang kirim sudha mnggi respon selesain komplaim suruh pusat resolusi mnuggu
Ok jasa,3,0,jasa
"TOLONG LAH TOKO LELET KALO GA NIAT KERJASAMA DENGAN PRAKERJA JANGAN GINI , UDAH 2 MINGGU SERTIFIKAT BLOM MUNCUL DI DASHBOARD",1,0,toko lelet niat kerjasama prakerja minggu sertifikat muncul dashboard
Kok di download ulang gak bisa2 yah,3,0,download ulang
Kren,3,0,kren
Setiap hari terus aja kena tipu gabiaa di download lagi apk nya aneh gitu kok apk ini aneh ya ini sangat mengganggu dan gauaah bilang saya Kaka saya itu masih 10 tahun dan saya juga punya otak jadi tolong semua yang salah dengan penipuan ini di hilangkan karena saya terus saja di tipu TDK tau knpa sudah buat aja semuanya gauaah dijawab ok selasai,1,0,kena tipu gabiaa download aplikasi aneh aplikasi aneh ganggu gauaah bilang otak salah tipu hilang tipu gauaah selasa
Kenapa selalu putus d tengah jalan c. Awal awalnya nyambung tapi pas udah mo pesan barang selalu putus conektvitasny. Udah berxx saya copot pasang ni aplikasi.,1,0,putus jalan sambung pas pesan barang putus conektvitasny berxx copot pasang aplikasi
Aplikasinya jelek beanget sampi saya ingin menghapus nya,2,0,aplikasi jelek beanget sampi hapus
Fix uninstal sudah sangat mengecewakan.. sebelum durasi proses dan pengiriman masih memberatkan pembeli saya tidak akan menggunakan aplikasi tokped saatnya beralih ke yg lain,1,0,fix uninstall kecewa durasi proses kirim berat beli aplikasi tokopedia alih
Hp gua ngeleg,1,0,hp ngeleg
kenapa akun tidak bisa menggunakan kode voucher?,1,0,akun kode voucher
Entah knp psnn saya blm datng² juga? Haduhhh,2,0,psnn datng haduhhh
"Min sertifikat sy blm muncul2 nih, sy slesai tgl 24 tp sampai hari ini blm jg muncul di dashboard prakerja sy???? Tolong dong kejelasannya",3,0,sertifikat muncul selesai tanggal muncul dashboard prakerja jelas
Baru,2,0,
"Pls tokped saya mau tuker tambah , hp saya note 5 pro tapi di fitur tuker tambah belum ada , plss tokped",1,0,pls tokopedia tukar hp note pro fitur tukar plss tokopedia
gak jelas... padahal gua blom pernah melakukan transaksi pas gua mau coba perdana beli barang ditoped pake voucher eh giliran mau pembayaran gak bisa... gagal terus... trus ini voucher mau di kemanain kalo gak bisa di pake ?,1,0,transaksi pas coba perdana beli barang tokopedia pakai voucher gilir bayar gagal voucher kemanain pakai
Selalu masalah koneksi internet....,1,0,koneksi internet
banyakin voucher gratis ongkir dong,3,0,banyak voucher gratis ongkir
"sebaiknya bgi yg lom belanja pelatihan melalui toko pediah mending gk usah beli di sini,,,,krna saya sudah mengalami dri glombang 4 sampai skrng lom muncul sertifikatnya di dashboard prakerja,,karna gara gara ulasan mereka menahan sertifikatnya,,,pdhl ulasannya cuma biasa di beri satu x,,sebanyak 17 akun yg saya belanjakan dengan satu akun saya ,,sampai skrng lom ada satupun yg keluar,,,,, yg saya belanjakan di tempat lain sudah keluar semua sertifikat sama inssentif pdhl bru di gelombang 6,,,,",1,0,bgi belanja latih toko pediah mending beli alami glombang muncul sertifikat dashboard prakerja gara gara ulas tahan sertifikat ulas akun belanja akun satu belanja sertifikat inssentif gelombang
Kenapa sekarang Top Up e-money Kartu Tol g bisa?,1,0,top up money kartu tol
Lelet,1,0,lelet
Plis lah tokped ga usah keseringan perbarui aplikasi,2,0,plis tokopedia sering baru aplikasi
"bego lu,toko pedia. Iklan di mana mana Wib wib halah.",1,0,bego tokopedia iklan wib wib halah
"Dear Toped, sebagai user sejak 2014 minta tolong dah, pembeli diberi kebebasan untuk pilihan bebas ongkir yang akan mereka pilih saya yakin kalau diberi pilihan antara antar aja (atau entar aja lebih tepatnya) atau si cepat pasti akan banyak yang pilih si cepat walau sedikit lebih mahal untuk mebayar ongkir diluar subsidinya saya sendiri sebagai seller memutuskan untuk menonaktifkan entar aja gegara berapa kali barang saya rusak di ekspedisi (beruntung pelanggan saya menyelesaikan dengan baik2 via personal sehingga tidak mempengaruhi rating penjualan) boleh belajar dari aplikasi sebelah.. subsidi bebas ongkir pilihannya murni ada di pelanggan. jadi pelanggat tetap bebas memilih ekspedisinya (kalau mau di limit pilihannya cuma si cepat maupun entar aja gpp.. tapi diberikan opsi sehingga kami bisa memilih tidak otomatis entar aja terus) sejumlah kecil seller bisa diajak kerjasama untuk menonaktifkan entar aja dalam proses pembelian, tapi sebagian besar tidak mau ribet mengatur di pilihan eksepedisinya",2,0,dear tokopedia user beli bebas pilih bebas ongkir pilih pilih sebentar tepat cepat pilih cepat mahal mebayar ongkir subsidi seller putus nonaktif sebentar gara-gara barang rusak ekspedisi untung langgan selesai via personal pengaruh rating jual ajar aplikasi belah subsidi bebas ongkir pilih murni langgan pelanggat bebas pilih ekspedisi limit pilih cepat sebentar opsi pilih otomatis sebentar seller ajak kerjasama nonaktif sebentar proses beli ribet atur pilih eksepedisinya
kenapa sanya kasih bintang 2 karena saya belum coba kalau udah coba baru dikasih lagi bintang semoga bagus,2,0,sanya kasih bintang coba coba kasih bintang moga bagus
Susah sekali mau tutup akun yg tidak terpakai atau pun mau ganti email!,1,0,susah tutup akun pakai ganti email
"Plis lah ganti kek brand ambassadornya,bosen gw behind the scene (bts) mulu",1,0,plis ganti brand ambassadornya bosan behind scene bts
Bintang satu dlu ya. Nanti kalau sudah sertivikat sudah di dasbord prakerja kta tambahi bintang ny. Dari tggl 29 smpai skrg sertifikat masi di tahan di toko pedia 😣😣,1,0,bintang sertifikat dashboard prakerja kta tambah bintang tggl sertifikat tahan tokopedia
"Aplikasi nya tiap hari gangguan mulu, ada apa ya",1,0,aplikasi ganggu
download ini karna BTS 🤣,3,0,download bts
Ada masalah di rumah toped Males ah,1,0,rumah tokopedia malas
loading lambat,3,0,loading lambat
Kenapa fitur emas ditokopedia saya selalu tidak bisa dibuka???sudah di upgrade kok..selalu yg muncul layar kosong,1,0,fitur emas tokopedia buka upgrade muncul layar kosong
Kapok beli ditokopedia cashback dibatalkan padahal beli Riel,1,0,kapok beli tokopedia cashback batal beli riel
Lebih baik pelayanan tokopedia yg dulu daripada sekarang. Pengajuan pembatalan pesanannya semakin lama. Saya ajukan pembatalan di tokonya tidak bersedia dan kurang responsif. Menunggu pesanan dikirim pun tidak ada kepastian dr penjual. Karena penjualnya jarang online. Menunggu batal otomatis dr tokopediapun sangat lama diketerangan 3x24 jam itu terlalu lama. Lha kenyataanya saya menunggu pengembalian dana sampai 5x24 jam.menghubungi tokopedia care pun jawabannya sama 😡.,1,0,layan tokopedia aju batal pesan aju batal toko sedia responsif tunggu pesan kirim pasti jual jual jarang online tunggu batal otomatis tokopediapun terang jam lha kenyataanya tunggu kembali dana jam hubung tokopedia care jawab
Saya kasih bintang satu dulu karena bener ga memuaskan,1,0,kasih bintang muas
Baru diupdate udah minta update lagi,2,0,diupdate update
"Saya sebagai penjual merasa dirugikan pihak tokopedia. Dana yang masuk ke saldo saya tidak sama dengan jumlah barang yang saya jual. Saya rugi 1,8juta, alasan dari pihak tokopedia karna saya melanggar sk yang berlaku, saya minta buktinya, tidak dikasi. Saya harap penjual yang lain tidak mengalami kejadian seperti saya.",1,0,jual rugi tokopedia dana masuk saldo barang jual rugi juta alas tokopedia langgar sk laku bukti kasih harap jual alami jadi
Kenapa saldo di review padahal pembeli tidak complain.. kami penjual butuh duitnya buat bisa berputar lg lebih cpt.. kalo begini yaa males lah mau jualan di tokopedia lg.. masih banyak tempat lain.. aplikasi gak berguna.. nyesel pilih aplikasi ini buat coba jualan..,1,0,saldo review beli complain jual butuh duit putar cepat malas jual tokopedia aplikasi guna sesal pilih aplikasi coba jual
Sertifikat prakerja lama muncul nya udah 2 minggu lebih,1,0,sertifikat prakerja muncul minggu
"Belum bisa kasih 5star , soalnya mau bikin akun datanya gangguan mulu, sama kaya mau ambil hadiah .. gangguan ,,gimana daftarnya coba kalau kek gtu 😞",3,0,kasih star akun data ganggu kaya ambil hadiah ganggu gimana daftar coba
Iklan teross,1,0,iklan teross
kasih ongkos ke driver itu yg wajar dong,1,0,kasih ongkos driver wajar
"parah data pengguna bocor semua. alamat, email, no. hp sampai tgl lahir bocor. dan kabarnya si peretas sudah berhasil memecahkan hash password. sumbrr : Virus Info.",1,0,parah data guna bocor alamat email hp tanggal lahir bocor kabar retas hasil pecah hash password sumbrr virus info
"Rupanya semua aplikasi belanja on line di negeri ini mengecewakan, tidak satupum komentar positif yg saya temukan di semua jenis aplikasi on line. Mending belanja manual saja.",1,0,aplikasi belanja line negeri kecewa satupum komentar positif temu jenis aplikasi line mending belanja manual
"Update terus,, tp makin gak bener,, terjadi kesalahan mulu,,, padahal wifi udah di siapin juga,,, tolong benerin lah, jgn Update terus",2,0,update salah wifi siapin benar update
"Setelah ku melihat daftar komplainnya,, wadidaw buruk sangat pelayanan tokped,,ternyata jawaban tokpednya cuma segitu ajha,,silahkan hub kami di link blabla,,atau silahkan hub kami d fb ,,,,wkwkwkwkw kocak ,,",1,0,daftar komplain wadidaw buruk layan tokopedia tokopedianya ajha silah hub link blabla silah hub facebook wkwkwkwkw kocak
perantara nyaman tokopedia,3,0,antara nyaman tokopedia
"mai bukti aj ,,👌",2,0,mai bukti
Lumayan lah,3,0,lumayan
Kenapa kok tidak bisa ya memilih pembayaran pakao kartu kredit ya mohon bantuanya,1,0,pilih bayar pakao kartu kredit mohon bantu
Makin lama makin buruk tidak ada tindakan pada penjual yg melakukan penipuan.. seperti kasus saya.. jauh lebih bagus shope atau bukalapak.. sangat jauh,1,0,buruk tindak jual tipu bagus shopee bukalapak
Kenapa susah banget ya mau masuk akun tokped padahal sebelumnya sudah ada pw sama email udah bener tapi susah sama sekali gak bisa masuk? Tolong dong ini kenapa tokopedia care juga susah aksesnya? makasih,1,0,susah banget masuk akun tokopedia pw email susah masuk tokopedia care susah akses terima kasih
"Setiap gw mau download anime atau kamenrider malah ada link menyesatkan ke sini, IKLAN BOLEH TAPI GAK USAH CAPER AJG",1,0,download anime kamenrider link sesat iklan caper ajg
aku 100% suka banget sama layanan tokopedia ini bagus bamget diaternya juga sesuai pesanan thank you tokopedia,3,0,suka banget layan tokopedia bagus bamget diaternya sesuai pesan terima kasih tokopedia
Buat agar foto hasil ulasan bisa di slide sampe akhir,3,0,foto hasil ulas slide
Kenapa gak bs update?,1,0,update
Makin sepiiiiii,2,0,sepiiiiii
Ok,3,0,
no 40 redy,3,0,redy
nipu saya sudah beli unlimited mahal mahal baru dipakd 1 menit sudah gak ada dasar aplikasi penipu,1,0,tipu beli unlimited mahal mahal dipakd menit dasar aplikasi tipu
"Setelah update ketika buka akun error terus padahal sinyal bagus, tolong diperbaiki",3,0,update buka akun error sinyal bagus baik
sertifikat turun kapan woi molor mulu udah seminggu lebih kesel bgt kalo.ga professional jadi platform ga usah lah ikut prakerja segala bikin kesel peserta aja BUAT GELOMBANG 5 DAN SETERUSNYA GA USAH DEH AMBIL PELATIHAN DISINI,1,0,sertifikat turun molor minggu kesal banget professional platform prakerja kesal serta gelombang ambil latih
☣️,3,0,
Dari kemaren kok barang sampe raden saleh depok aja dilacak?,3,0,kemarin barang raden saleh depok lacak
"Kenapa pas saya buka tokopedia play tampilannya jadi putih sih, mohon bantuan nya:)",2,0,pas buka tokopedia play tampil putih mohon bantu
Katanya bebaa Ongkir . Cuman Tipu ajah . Ngak ada yg namanya bebas ongkir . Booong,1,0,bebaa ongkir tipu nama bebas ongkir booong
Gw pen download lagu yg muncul malah Tokopedia-_-,1,0,download lagu muncul tokopedia
"Saya kasi bintang tiga karena, invoice atau struk pembelian paket data atau pembayaran kartu kredit tidak dpt dicetak langsung atau didownload dlm bentuk pdf, sy sudah berapa kali membayar tagihan kartu kredit kantor dan paket data tp struknya tidak bisa berfungsi tombol cetaknya alhasil discreenshoot dan dilampirkan surat pernyataan, mgkn ini terlihat sepele tp mohon utk webstore sekaliber TokPed utk memperhatikan detail kenyaman konsumen.. 🙏🙏",3,0,kasih bintang invoice struk beli paket data bayar kartu kredit cetak langsung didownload bentuk pdf bayar tagih kartu kredit kantor paket data struknya fungsi tombol cetak alhasil discreenshoot lampir surat nyata mgkn sepele mohon webstore kaliber tokopedia perhati detail kenyam konsumen
Kudownload karena tahu bula nyoi.,1,0,kudownload bula nyoi
puas,3,0,puas
Ijek arep njajal,2,0,ijek arep njajal
Bagus,1,0,bagus
1ecoo,2,0,ecoo
"Fitur filter pada kategory sebelum update ada sekarang malah di hilangkan, jadi susah cari produk terbaru dan filter barang",2,0,fitur filter kategory update hilang susah cari produk baru filter barang
Tidak bisa kasih ulasan kartu prakerja..udah bolak balik tetap tidak bisa..gimana ya solusinya,3,0,kasih ulas kartu prakerja bolak gimana solusi
"Kenapa setelah update malah ga enak aplikasi nya min,, tulisan jadi pada ilang trus sering lemot saat mau ngecek paket",1,0,update enak aplikasi tulis hilang lot ngecek paket
Opsi gratis ongkir direview lagi dah. gila sj gratis ongkir pake anter aja kirim dari jogja ke magelang 9 hari belum sampe. Kasian penjual kl begini,2,0,opsi gratis ongkir direview gila gratis ongkir pakai kirim jogja magelang kasihan jual
"Min , Knapa sertifikat prakerja saya blom dikirim ke prakerja nya, nanti tak kasih bintang 5 kalo sertifikat dah muncul",3,0,sertifikat prakerja kirim prakerja kasih bintang sertifikat muncul
"Tolong untuk partner kurir anteraja itu diberi arahan atau diputus saja, barang saya sudah 5 hari tidak sampai-sampai.",1,0,partner kurir anteraja arah putus barang
Thank you,3,0,terima kasih
"Prakerja Gelombang 4 syarat sudah memenuhi semua, sertifikat sudah ada 2, selesai semua materi 29 Agustus 2020, gelombang 5.6 malah sudah ada yang cair. Kenapa belum ada di dasbor,",3,0,prakerja gelombang syarat penuh sertifikat selesai materi agustus gelombang cair dashboard
Pembelian mobil mainan remot berjalan lancar,3,0,beli mobil main remot jalan lancar
Tolol,1,0,tolol
Lambat masuk ke aplikasinya 30 menit baru terbuka,2,0,lambat masuk aplikasi menit buka
"Prakerja saya knp tidak muncul di dashboard dari tanggal 26 agustus. Hubungi tokopedia care ,kok robot yg balas. Parahh..",1,0,prakerja muncul dashboard tanggal agustus hubung tokopedia care robot balas parah
